title,genre,release_time,time,screening_rat,director,num_staff,num_actor,movieNm,movieCd,openDt,audiAcc
더 이퀄라이저,"[dict_values(['액션']), dict_values(['범죄']), dict_values(['스릴러'])]",20150128,131,청소년관람불가,안톤 후쿠아,0,3,더 이퀄라이저,20145041,2015-01-28,80314.0
바다 탐험대 옥토넛 스페셜,[dict_values(['애니메이션'])],20150205,70,전체관람가,니키 팰런,0,5,바다 탐험대 옥토넛 스페셜,20155601,2015-02-05,36678.0
아메리칸 스나이퍼,[dict_values(['액션'])],20150114,132,청소년관람불가,클린트 이스트우드,0,2,아메리칸 스나이퍼,20143754,2015-01-14,332874.0
내 심장을 쏴라,[dict_values(['드라마'])],20150128,101,15세이상관람가,문제용,245,22,내 심장을 쏴라,20148553,2015-01-28,382608.0
오늘의 연애,"[dict_values(['멜로/로맨스']), dict_values(['코미디'])]",20150114,118,15세이상관람가,박진표,272,16,오늘의 연애,20142407,2015-01-14,1887582.0
센과 치히로의 행방불명,"[dict_values(['애니메이션']), dict_values(['어드벤처']), dict_values(['가족']), dict_values(['판타지'])]",20020627,126,전체관람가,미야자키 하야오,0,1,센과 치히로의 행방불명,20020168,2002-06-27,113393.0
주피터 어센딩,"[dict_values(['SF']), dict_values(['액션']), dict_values(['어드벤처'])]",20150205,127,12세이상관람가,라나 워쇼스키,2,5,주피터 어센딩,20149037,2015-02-05,293131.0
최강전사 미니특공대 : 새로운 악당의 습격,[dict_values(['애니메이션'])],20150205,61,전체관람가,이영준,131,3,최강전사 미니특공대 : 새로운 악당의 습격,20156441,2015-02-05,122124.0
강남 1970,"[dict_values(['액션']), dict_values(['드라마'])]",20150121,135,청소년관람불가,유하,422,63,강남 1970,20136888,2015-01-21,2172480.0
7번째 아들,"[dict_values(['어드벤처']), dict_values(['가족']), dict_values(['판타지'])]",20150211,102,12세이상관람가,세르게이 보드로프,0,3,7번째 아들,20142561,2015-02-11,87080.0
모데카이,"[dict_values(['액션']), dict_values(['코미디'])]",20150218,106,15세이상관람가,데이빗 코엡,0,3,모데카이,20145242,2015-02-18,32208.0
오즈의 마법사: 돌아온 도로시,"[dict_values(['애니메이션']), dict_values(['판타지']), dict_values(['뮤지컬']), dict_values(['어드벤처']), dict_values(['가족'])]",20150212,91,전체관람가,윌 핀,0,4,오즈의 마법사: 돌아온 도로시,20155881,2015-02-12,237667.0
명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,"[dict_values(['애니메이션']), dict_values(['어드벤처']), dict_values(['스릴러'])]",20150212,91,12세이상관람가,야마모토 야스이치로,0,0,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,20155761,2015-02-12,211454.0
빅 히어로,"[dict_values(['애니메이션']), dict_values(['액션']), dict_values(['코미디'])]",20150121,107,전체관람가,돈 홀,2,10,빅 히어로,20149951,2015-01-21,2734474.0
스폰지밥 3D,"[dict_values(['애니메이션']), dict_values(['어드벤처']), dict_values(['코미디'])]",20150218,92,전체관람가,폴 티비트,0,6,스폰지밥 3D,20149401,2015-02-18,295863.0
도라에몽 : 스탠 바이 미,[dict_values(['애니메이션'])],20150212,94,전체관람가,야마자키 타카시,0,2,도라에몽 : 스탠 바이 미,20144322,2015-02-12,462056.0
포커스,"[dict_values(['코미디']), dict_values(['범죄']), dict_values(['멜로/로맨스'])]",20150226,104,15세이상관람가,글렌 피카라,0,4,포커스,20145102,2015-02-26,87590.0
나이트 크롤러,"[dict_values(['범죄']), dict_values(['드라마']), dict_values(['스릴러'])]",20150226,118,청소년관람불가,댄 길로이,0,2,나이트 크롤러,20145103,2015-02-26,49393.0
쎄시봉,"[dict_values(['멜로/로맨스']), dict_values(['코미디']), dict_values(['드라마'])]",20150205,122,15세이상관람가,김현석,329,33,쎄시봉,20148188,2015-02-05,1706272.0
백 투 더 비기닝,"[dict_values(['SF']), dict_values(['스릴러'])]",20150226,106,15세이상관람가,딘 이스라엘리트,0,5,백 투 더 비기닝,20156161,2015-02-26,259382.0
조선명탐정 : 사라진 놉의 딸,"[dict_values(['사극']), dict_values(['코미디']), dict_values(['어드벤처'])]",20150211,124,12세이상관람가,김석윤,384,34,조선명탐정 : 사라진 놉의 딸,20149570,2015-02-11,3855420.0
세인트 빈센트,"[dict_values(['코미디']), dict_values(['드라마'])]",20150305,101,12세이상관람가,데오도르 멜피,0,5,세인트 빈센트,20145085,2015-03-05,78962.0
그레이의 50가지 그림자,"[dict_values(['드라마']), dict_values(['멜로/로맨스'])]",20150226,125,청소년관람불가,샘 테일러-존슨,0,4,그레이의 50가지 그림자,20147613,2015-02-26,357499.0
기생수 파트1,"[dict_values(['스릴러']), dict_values(['SF'])]",20150226,109,청소년관람불가,야마자키 타카시,0,5,기생수 파트1,20144621,2015-02-26,178846.0
국제시장,[dict_values(['드라마'])],20141217,126,12세이상관람가,윤제균,548,40,국제시장,20137048,2014-12-17,14241429.0
버드맨,"[dict_values(['코미디']), dict_values(['드라마'])]",20150305,119,청소년관람불가,알레한드로 곤잘레스 이냐리투,1,4,버드맨,20144801,2015-03-05,183988.0
순수의 시대,"[dict_values(['사극']), dict_values(['드라마'])]",20150305,113,청소년관람불가,안상훈,405,33,순수의 시대,20136063,2015-03-05,463616.0
트레이서,[dict_values(['액션'])],20150319,93,15세이상관람가,다니엘 벤마요,0,2,트레이서,20157001,2015-03-19,8221.0
소셜포비아,"[dict_values(['스릴러']), dict_values(['드라마'])]",20150312,102,15세이상관람가,홍석재,146,15,소셜포비아,20141602,2015-03-12,240147.0
추억의 마니,[dict_values(['애니메이션'])],20150319,102,전체관람가,요네바야시 히로마사,0,0,추억의 마니,20156904,2015-03-19,27206.0
태양을 쏴라,[dict_values(['멜로/로맨스'])],20150319,86,청소년관람불가,김태식,75,5,태양을 쏴라,20133681,2015-03-19,17342.0
드래곤 블레이드,"[dict_values(['액션']), dict_values(['어드벤처'])]",20150312,127,15세이상관람가,이인항,0,4,드래곤 블레이드,20156704,2015-03-12,54112.0
